Simplified Chinese,Pinyin,Meaning,Audio
老,lǎo,"prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity, old (of people), venerable (person), experienced, of long standing, always, all the time, of the past, very, outdated, (of meat etc) tough",[sound:老.mp3]
老人,lǎorén,"old man or woman, the elderly, one's aged parents or grandparents",[sound:老人.mp3]
老师,lǎoshī,"teacher, CL:個|个[ge4],位[wei4]",[sound:老师.mp3]
了,le,unofficial variant of 瞭[liao4],[sound:了.mp3]
累,lèi,"rope, to bind together, to twist around",[sound:累.mp3]
冷,lěng,cold,[sound:冷.mp3]
里,lǐ,"li, ancient measure of length, approx. 500 m, neighborhood, ancient administrative unit of 25 families, (Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels",[sound:里.mp3]
里边,lǐbiān,inside,[sound:里边.mp3]
两,liǎng,"two, both, some, a few, tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)",[sound:两.mp3]
零,líng,"zero, nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither",[sound:零.mp3]
六,lìu,"six, 6",[sound:六.mp3]
楼,lóu,"house with more than 1 story, storied building, floor, CL:層|层[ceng2],座[zuo4],棟|栋[dong4]",[sound:楼.mp3]
楼上,lóushàng,upstairs,[sound:楼上.mp3]
楼下,lóuxià,downstairs,[sound:楼下.mp3]
路,lù,"road, CL:條|条[tiao2], journey, route, line (bus etc), sort, kind",[sound:路.mp3]
路口,lùkǒu,"crossing, intersection (of roads)",[sound:路口.mp3]
路上,lùshàng,"on the road, on a journey, road surface",[sound:路上.mp3]
妈妈,māmā,"mama, mommy, mother, CL:個|个[ge4],位[wei4]",[sound:妈妈.mp3]
马路,mǎlù,"street, road, CL:條|条[tiao2]",[sound:马路.mp3]
马上,mǎshàng,"at once, right away, immediately, on horseback (i.e. by military force)",[sound:马上.mp3]
吗,ma,"(question particle for ""yes-no"" questions)",[sound:吗.mp3]
买,mǎi,"to buy, to purchase",[sound:买.mp3]
慢,màn,slow,[sound:慢.mp3]
忙,máng,"busy, hurriedly, to hurry, to rush",[sound:忙.mp3]
毛,máo,"hair, feather, down, wool, mildew, mold, coarse or semifinished, young, raw, careless, unthinking, nervous, scared, (of currency) to devalue or depreciate, classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])",[sound:毛.mp3]
没,méi,"drowned, to end, to die, to inundate",[sound:没.mp3]
没关系,méiguānxì,it doesn't matter,[sound:没关系.mp3]
没什么,méishíyāo,"nothing, it doesn't matter, it's nothing, never mind",[sound:没什么.mp3]
没事儿,méishìér,"to have spare time, free from work, it's not important, it's nothing, never mind",[sound:没事儿.mp3]
没有,méiyǒu,"haven't, hasn't, doesn't exist, to not have, to not be",[sound:没有.mp3]
妹妹,mèimèi,"younger sister, young woman, CL:個|个[ge4]",[sound:妹妹.mp3]
门,mén,"gate, door, CL:扇[shan4], gateway, doorway, CL:個|个[ge4], opening, valve, switch, way to do something, knack, family, house, (religious) sect, school (of thought), class, category, phylum or division (taxonomy), classifier for large guns, classifier for lessons, subjects, branches of technology, (suffix) -gate (i.e. scandal; derived from Watergate)",[sound:门.mp3]
门口,ménkǒu,"doorway, gate, CL:個|个[ge4]",[sound:门口.mp3]
门票,ménpiào,"ticket (for theater, cinema etc)",[sound:门票.mp3]
们,men,"plural marker for pronouns, and nouns referring to individuals",[sound:们.mp3]
米饭,mǐfàn,(cooked) rice,[sound:米饭.mp3]
面包,miànbāo,"bread, CL:片[pian4],袋[dai4],塊|块[kuai4]",[sound:面包.mp3]
面条儿,miàntiáoér,erhua variant of 麵條|面条[mian4 tiao2],[sound:面条儿.mp3]
名字,míngzì,"name (of a person or thing), CL:個|个[ge4]",[sound:名字.mp3]
明白,míngbái,"clear, obvious, unequivocal, to understand, to realize",[sound:明白.mp3]
明年,míngnián,next year,[sound:明年.mp3]
明天,míngtiān,tomorrow,[sound:明天.mp3]
拿,ná,"to hold, to seize, to catch, to apprehend, to take, (used in the same way as 把[ba3]: to mark the following noun as a direct object)",[sound:拿.mp3]
哪,nǎ,"which? (interrogative, followed by classifier or numeral-classifier)",[sound:哪.mp3]
哪里,nǎlǐ,"where?, somewhere, anywhere, wherever, nowhere (negative answer to question), humble expression denying compliment",[sound:哪里.mp3]
